web-scraper-order,web-scraper-start-url,title,date,time,type,inPerson,link
1684188221-53,https://build.microsoft.com/en-US/sessions,"Azure Cosmos DB for MongoDB: Choosing the right architecture, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/d0f2d888-a79d-42f9-a062-f9c334daca9f?source=sessions
1684188221-54,https://build.microsoft.com/en-US/sessions,"CBL-Mariner: A container host OS for Azure Kubernetes Service, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/e84dd80a-f3bb-4d3d-978e-ffd811e3bfe1?source=sessions
1684188221-55,https://build.microsoft.com/en-US/sessions,How leading AI companies 10x experimentation velocity with Statsig,"Tuesday, May 23
4:30 PM - 4:45 PM Eastern Daylight Time",4:30 PM - 4:45 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/c3d2c385-58db-49c8-9575-299b7b6b7683?source=sessions
1684188221-56,https://build.microsoft.com/en-US/sessions,Learn Live: Model data for Azure Cosmos DB for PostgreSQL,"Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time",4:30 PM - 5:30 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/8036fabb-00b1-4fcf-bb61-6f2cc45c4008?source=sessions
1684188221-57,https://build.microsoft.com/en-US/sessions,Native apps for Windows on Snapdragon® compute platforms,"Tuesday, May 23
4:30 PM - 5:00 PM Eastern Daylight Time",4:30 PM - 5:00 PM Eastern Daylight Time,Discussion,Digital,/en-US/sessions/b5ff282c-6503-460a-8b03-ef652e3ef068?source=sessions
1684188221-58,https://build.microsoft.com/en-US/sessions,"Optimize your apps for Arm, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,DigitalIn-Person,/en-US/sessions/4a5f9357-7e15-4a5f-ac33-3a5bae88684c?source=sessions
1684188221-59,https://build.microsoft.com/en-US/sessions,"Unlocking the Power of Azure Security: Conversations with Experts, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,In-Person,/en-US/sessions/6da00f4d-58a8-449e-9f00-cffb5c943bd2?source=sessions
1684188221-60,https://build.microsoft.com/en-US/sessions,"What's new in TypeScript, Q&A","Tuesday, May 23
4:30 PM - 5:15 PM Eastern Daylight Time",4:30 PM - 5:15 PM Eastern Daylight Time,Discussion,In-Person,/en-US/sessions/7fc31196-9b3a-4baa-aa2a-c6eabd9a9fe4?source=sessions
1684188221-61,https://build.microsoft.com/en-US/sessions,"Build flexible, intelligent apps with OSS on Microsoft Azure and GitHub Copilot","Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time
Limited space",4:30 PM - 5:30 PM Eastern Daylight Time,Lab,In-Person,/en-US/sessions/0da2f92e-993a-46f7-b0f1-4fa39b0e0010?source=sessions
1684188221-62,https://build.microsoft.com/en-US/sessions,Skill up with Microsoft Power Platform and GitHub,"Tuesday, May 23
4:30 PM - 5:30 PM Eastern Daylight Time
Limited space",4:30 PM - 5:30 PM Eastern Daylight Time,Lab,In-Person,/en-US/sessions/6d2c85fe-7a40-404b-96da-0456169000e8?source=sessions
